MUNICÍPIO,ESTADO,ISOPLETA
Esmeraldas,Minas Gerais,30
Espera Feliz,Minas Gerais,30
Espinosa,Minas Gerais,30
Espírito Santo do Dourado,Minas Gerais,40
Estiva,Minas Gerais,40
Estrela Dalva,Minas Gerais,35
Estrela do Indaiá,Minas Gerais,35
Estrela do Sul,Minas Gerais,35
Eugenópolis,Minas Gerais,30
Ewbank da Câmara,Minas Gerais,35
Extrema,Minas Gerais,40
Fama,Minas Gerais,35
Faria Lemos,Minas Gerais,30
Felício dos Santos,Minas Gerais,30
Felisburgo,Minas Gerais,30
Felixlândia,Minas Gerais,30
Fernandes Tourinho,Minas Gerais,30
Ferros,Minas Gerais,30
Fervedouro,Minas Gerais,30
Florestal,Minas Gerais,30
Formiga,Minas Gerais,30
Formoso,Minas Gerais,30
Fortaleza de Minas,Minas Gerais,35
Fortuna de Minas,Minas Gerais,30
Francisco Badaró,Minas Gerais,30
Francisco Dumont,Minas Gerais,30
Francisco Sá,Minas Gerais,30
Franciscópolis,Minas Gerais,30
Frei Gaspar,Minas Gerais,30
Frei Inocêncio,Minas Gerais,30
Frei Lagonegro,Minas Gerais,30
Fronteira,Minas Gerais,35
Fronteira dos Vales,Minas Gerais,30
Fruta de Leite,Minas Gerais,30
Frutal,Minas Gerais,35
Funilândia,Minas Gerais,30
Galiléia,Minas Gerais,30
Gameleiras,Minas Gerais,30
Glaucilândia,Minas Gerais,30
Goiabeira,Minas Gerais,30
Goianá,Minas Gerais,35
Gonçalves,Minas Gerais,40
Gonzaga,Minas Gerais,30
Gouveia,Minas Gerais,30
Governador Valadares,Minas Gerais,30
Grão Mogol,Minas Gerais,30
Grupiara,Minas Gerais,35
Guanhães,Minas Gerais,30
Guapé,Minas Gerais,35
Guaraciaba,Minas Gerais,35
Guaraciama,Minas Gerais,30
Guaranésia,Minas Gerais,35
Guarani,Minas Gerais,35
Guarará,Minas Gerais,35
Guarda-mor,Minas Gerais,30
Guaxupé,Minas Gerais,35
Guidoval,Minas Gerais,35
Guimarânia,Minas Gerais,35
Guiricema,Minas Gerais,35
Gurinhatã,Minas Gerais,35
Heliodora,Minas Gerais,40
Iapu,Minas Gerais,30
Ibertioga,Minas Gerais,35
Ibiá,Minas Gerais,35
Ibiaí,Minas Gerais,30
Ibiracatu,Minas Gerais,30
Ibiraci,Minas Gerais,35
Ibirité,Minas Gerais,30
Ibitiúra de Minas,Minas Gerais,40
Ibituruna,Minas Gerais,35
Icaraí de Minas,Minas Gerais,30
Igarapé,Minas Gerais,30
Igaratinga,Minas Gerais,30
Iguatama,Minas Gerais,35
Ijaci,Minas Gerais,35
Ilicínea,Minas Gerais,35
Imbé de Minas,Minas Gerais,30
Inconfidentes,Minas Gerais,40
Indaiabira,Minas Gerais,30
Indianópolis,Minas Gerais,35
Ingaí,Minas Gerais,35
Inhapim,Minas Gerais,30
Inhaúma,Minas Gerais,30
Inimutaba,Minas Gerais,30
Ipaba,Minas Gerais,30
Ipanema,Minas Gerais,30
Ipatinga,Minas Gerais,30
Ipiaçu,Minas Gerais,35
Ipuiúna,Minas Gerais,40
Iraí de Minas,Minas Gerais,35
Itabira,Minas Gerais,30
Itabirinha,Minas Gerais,30
Itabirito,Minas Gerais,30
Itacambira,Minas Gerais,30
Itacarambi,Minas Gerais,30
Itaguara,Minas Gerais,30
Itaipé,Minas Gerais,30
Itajubá,Minas Gerais,35
Itamarandiba,Minas Gerais,30
Itamarati de Minas,Minas Gerais,35
Itambacuri,Minas Gerais,30
Itambé do Mato Dentro,Minas Gerais,30
Itamogi,Minas Gerais,35
Itamonte,Minas Gerais,35
Itanhandu,Minas Gerais,35
Itanhomi,Minas Gerais,30
Itaobim,Minas Gerais,30
Itapagipe,Minas Gerais,35
Itapecerica,Minas Gerais,30
Itapeva,Minas Gerais,40
Itatiaiuçu,Minas Gerais,30
Itaú de Minas,Minas Gerais,35
Itaúna,Minas Gerais,30
Itaverava,Minas Gerais,35
Itinga,Minas Gerais,30
Itueta,Minas Gerais,30
Ituiutaba,Minas Gerais,35
Itumirim,Minas Gerais,35
Iturama,Minas Gerais,35
Itutinga,Minas Gerais,35
Jaboticatubas,Minas Gerais,30
Jacinto,Minas Gerais,30
Jacuí,Minas Gerais,35
Jacutinga,Minas Gerais,40
Jaguaraçu,Minas Gerais,30
Jaíba,Minas Gerais,30
Jampruca,Minas Gerais,30
Janaúba,Minas Gerais,30
Januária,Minas Gerais,30
Japaraíba,Minas Gerais,35
Japonvar,Minas Gerais,30
Jeceaba,Minas Gerais,35
Jenipapo de Minas,Minas Gerais,30
Jequeri,Minas Gerais,30
Jequitaí,Minas Gerais,30
Jequitibá,Minas Gerais,30
Jequitinhonha,Minas Gerais,30
Jesuânia,Minas Gerais,35
Joaíma,Minas Gerais,30
Joanésia,Minas Gerais,30
João Monlevade,Minas Gerais,30
João Pinheiro,Minas Gerais,30
Joaquim Felício,Minas Gerais,30
Jordânia,Minas Gerais,30
José Gonçalves de Minas,Minas Gerais,30
José Raydan,Minas Gerais,30
Josenópolis,Minas Gerais,30
Juatuba,Minas Gerais,30
Juiz de Fora,Minas Gerais,35
Juramento,Minas Gerais,30
Juruaia,Minas Gerais,35
Juvenília,Minas Gerais,30
Ladainha,Minas Gerais,30
Lagamar,Minas Gerais,30
Lagoa da Prata,Minas Gerais,35
Lagoa dos Patos,Minas Gerais,30
Lagoa Dourada,Minas Gerais,35
Lagoa Formosa,Minas Gerais,30
Lagoa Grande,Minas Gerais,30
Lagoa Santa,Minas Gerais,30
Lajinha,Minas Gerais,30
Lambari,Minas Gerais,35
Lamim,Minas Gerais,35
Laranjal,Minas Gerais,30
Lassance,Minas Gerais,30
Lavras,Minas Gerais,35
Leandro Ferreira,Minas Gerais,30
Leme do Prado,Minas Gerais,30
Leopoldina,Minas Gerais,35
Liberdade,Minas Gerais,35
Lima Duarte,Minas Gerais,35
Limeira do Oeste,Minas Gerais,40
Lontra,Minas Gerais,30
Luisburgo,Minas Gerais,30
Luislândia,Minas Gerais,30
Luminárias,Minas Gerais,35
Luz,Minas Gerais,35
Machacalis,Minas Gerais,30
Machado,Minas Gerais,40
Madre de Deus de Minas,Minas Gerais,35
Malacacheta,Minas Gerais,30
Mamonas,Minas Gerais,30
Manga,Minas Gerais,30
Manhuaçu,Minas Gerais,30
Manhumirim,Minas Gerais,30
Mantena,Minas Gerais,30
Mar de Espanha,Minas Gerais,35
Maravilhas,Minas Gerais,30
Maria da Fé,Minas Gerais,35
Mariana,Minas Gerais,30
Marilac,Minas Gerais,30
Mário Campos,Minas Gerais,30
Maripá de Minas,Minas Gerais,35
Marliéria,Minas Gerais,30
Marmelópolis,Minas Gerais,35
Martinho Campos,Minas Gerais,30
Martins Soares,Minas Gerais,30
Mata Verde,Minas Gerais,30
Materlândia,Minas Gerais,30
Mateus Leme,Minas Gerais,30
Mathias Lobato,Minas Gerais,30
Matias Barbosa,Minas Gerais,35
Matias Cardoso,Minas Gerais,30
Matipó,Minas Gerais,30
Mato Verde,Minas Gerais,30
Matozinhos,Minas Gerais,30
Matutina,Minas Gerais,30
Medeiros,Minas Gerais,35
Medina,Minas Gerais,30
Mendes Pimentel,Minas Gerais,30
Mercês,Minas Gerais,35
Mesquita,Minas Gerais,30
Minas Novas,Minas Gerais,30
Minduri,Minas Gerais,35
Mirabela,Minas Gerais,30
Miradouro,Minas Gerais,30
Miraí,Minas Gerais,35
Miravânia,Minas Gerais,30
Moeda,Minas Gerais,30
Moema,Minas Gerais,30
Monjolos,Minas Gerais,30
Monsenhor Paulo,Minas Gerais,40
Montalvânia,Minas Gerais,30
Monte Alegre de Minas,Minas Gerais,35
Monte Azul,Minas Gerais,30
Monte Belo,Minas Gerais,35
Monte Carmelo,Minas Gerais,35
Monte Formoso,Minas Gerais,30
Monte Santo de Minas,Minas Gerais,35
Monte Sião,Minas Gerais,40
Montes Claros,Minas Gerais,30
Montezuma,Minas Gerais,30
Morada Nova de Minas,Minas Gerais,30
Morro da Garça,Minas Gerais,30
Morro do Pilar,Minas Gerais,30
Munhoz,Minas Gerais,40
Muriaé,Minas Gerais,30
Mutum,Minas Gerais,30
Muzambinho,Minas Gerais,35
Nacip Raydan,Minas Gerais,30
Nanuque,Minas Gerais,30
Naque,Minas Gerais,30
Natalândia,Minas Gerais,30
Natércia,Minas Gerais,40
Nazareno,Minas Gerais,35
Nepomuceno,Minas Gerais,35
Ninheira,Minas Gerais,30
Nova Belém,Minas Gerais,30
Nova Era,Minas Gerais,30
Nova Lima,Minas Gerais,30
Nova Módica,Minas Gerais,30
Nova Ponte,Minas Gerais,35
Nova Porteirinha,Minas Gerais,30
Nova Resende,Minas Gerais,35
Nova Serrana,Minas Gerais,30
Nova União,Minas Gerais,30
Novo Cruzeiro,Minas Gerais,30
Novo Oriente de Minas,Minas Gerais,30
Novorizonte,Minas Gerais,30
Olaria,Minas Gerais,35
Olhos-d'água,Minas Gerais,30
Olímpio Noronha,Minas Gerais,35
Oliveira,Minas Gerais,35
Oliveira Fortes,Minas Gerais,35
Onça de Pitangui,Minas Gerais,30
Oratórios,Minas Gerais,30
Orizânia,Minas Gerais,30
Ouro Branco,Minas Gerais,35
Ouro Fino,Minas Gerais,40
Ouro Preto,Minas Gerais,30
Ouro Verde de Minas,Minas Gerais,30
Padre Carvalho,Minas Gerais,30
Padre Paraíso,Minas Gerais,30
Pai Pedro,Minas Gerais,30
Paineiras,Minas Gerais,30
Pains,Minas Gerais,35
Paiva,Minas Gerais,35
Palma,Minas Gerais,30
Palmópolis,Minas Gerais,30
Papagaios,Minas Gerais,30
Pará de Minas,Minas Gerais,30
Paracatu,Minas Gerais,30
Paraguaçu,Minas Gerais,40
Paraisópolis,Minas Gerais,40
Paraopeba,Minas Gerais,30
Passa Quatro,Minas Gerais,35
Passa Tempo,Minas Gerais,35
Passabém,Minas Gerais,30
Passa-vinte,Minas Gerais,35
Passos,Minas Gerais,35
Patis,Minas Gerais,30
Patos de Minas,Minas Gerais,35
Patrocínio,Minas Gerais,35
Patrocínio do Muriaé,Minas Gerais,30
Paula Cândido,Minas Gerais,35
Paulistas,Minas Gerais,30
Pavão,Minas Gerais,30
Peçanha,Minas Gerais,30
Pedra Azul,Minas Gerais,30
Pedra Bonita,Minas Gerais,30
Pedra do Anta,Minas Gerais,35
Pedra do Indaiá,Minas Gerais,30
Pedra Dourada,Minas Gerais,30
Pedralva,Minas Gerais,35
Pedras de Maria da Cruz,Minas Gerais,30
Pedrinópolis,Minas Gerais,35
Pedro Leopoldo,Minas Gerais,30
Pedro Teixeira,Minas Gerais,35
Pequeri,Minas Gerais,35
Pequi,Minas Gerais,30
Perdigão,Minas Gerais,30
Perdizes,Minas Gerais,35
Perdões,Minas Gerais,35
Periquito,Minas Gerais,30
Pescador,Minas Gerais,30
Piau,Minas Gerais,35
Piedade de Caratinga,Minas Gerais,30
Piedade de Ponte Nova,Minas Gerais,30
Piedade do Rio Grande,Minas Gerais,35
Piedade dos Gerais,Minas Gerais,30
Pimenta,Minas Gerais,35
Pingo-d'água,Minas Gerais,30
Pintópolis,Minas Gerais,30
Piracema,Minas Gerais,35
Pirajuba,Minas Gerais,35
Piranga,Minas Gerais,35
Piranguçu,Minas Gerais,35
Piranguinho,Minas Gerais,40
Pirapetinga,Minas Gerais,35
Pirapora,Minas Gerais,30
Piraúba,Minas Gerais,35
Pitangui,Minas Gerais,30
Piumhi,Minas Gerais,35
Planura,Minas Gerais,35
Poço Fundo,Minas Gerais,40
Poços de Caldas,Minas Gerais,40
Pocrane,Minas Gerais,30
Pompéu,Minas Gerais,30
Ponte Nova,Minas Gerais,30
Ponto Chique,Minas Gerais,30
Ponto dos Volantes,Minas Gerais,30
Porteirinha,Minas Gerais,30
Porto Firme,Minas Gerais,35
Poté,Minas Gerais,30
Pouso Alegre,Minas Gerais,40
Pouso Alto,Minas Gerais,35
Prados,Minas Gerais,35
Prata,Minas Gerais,35
Pratápolis,Minas Gerais,35
Pratinha,Minas Gerais,35
Presidente Bernardes,Minas Gerais,35
Presidente Juscelino,Minas Gerais,30
Presidente Kubitschek,Minas Gerais,30
Presidente Olegário,Minas Gerais,30
Prudente de Morais,Minas Gerais,30
Quartel Geral,Minas Gerais,30
Queluzito,Minas Gerais,35
Raposos,Minas Gerais,30
Raul Soares,Minas Gerais,30
Recreio,Minas Gerais,35
Reduto,Minas Gerais,30
Resende Costa,Minas Gerais,35
Resplendor,Minas Gerais,30
Ressaquinha,Minas Gerais,35
Riachinho,Minas Gerais,30
Riacho dos Machados,Minas Gerais,30
Ribeirão das Neves,Minas Gerais,30
Ribeirão Vermelho,Minas Gerais,35
Rio Acima,Minas Gerais,30
Rio Casca,Minas Gerais,30
Rio do Prado,Minas Gerais,30
Rio Doce,Minas Gerais,30
Rio Espera,Minas Gerais,35
Rio Manso,Minas Gerais,30
Rio Novo,Minas Gerais,35
Rio Paranaíba,Minas Gerais,30
Rio Pardo de Minas,Minas Gerais,30
Rio Piracicaba,Minas Gerais,30
Rio Pomba,Minas Gerais,35
Rio Preto,Minas Gerais,35
Rio Vermelho,Minas Gerais,30
Ritápolis,Minas Gerais,35
Rochedo de Minas,Minas Gerais,35
Rodeiro,Minas Gerais,35
Romaria,Minas Gerais,35
Rosário da Limeira,Minas Gerais,35
Rubelita,Minas Gerais,30
Rubim,Minas Gerais,30
Sabará,Minas Gerais,30
Sabinópolis,Minas Gerais,30
Sacramento,Minas Gerais,35
Salinas,Minas Gerais,30
Salto da Divisa,Minas Gerais,30
Santa Bárbara,Minas Gerais,30
Santa Bárbara do Leste,Minas Gerais,30
Santa Bárbara do Monte Verde,Minas Gerais,35
Santa Bárbara do Tugúrio,Minas Gerais,35
Santa Cruz de Minas,Minas Gerais,35
Santa Cruz de Salinas,Minas Gerais,30
Santa Cruz do Escalvado,Minas Gerais,30
Santa Efigênia de Minas,Minas Gerais,30
Santa Fé de Minas,Minas Gerais,30
Santa Helena de Minas,Minas Gerais,30
Santa Juliana,Minas Gerais,35
Santa Luzia,Minas Gerais,30
Santa Margarida,Minas Gerais,30
Santa Maria de Itabira,Minas Gerais,30
Santa Maria do Salto,Minas Gerais,30
Santa Maria do Suaçuí,Minas Gerais,30
Santa Rita de Caldas,Minas Gerais,40
Santa Rita de Ibitipoca,Minas Gerais,35
Santa Rita de Jacutinga,Minas Gerais,35
Santa Rita de Minas,Minas Gerais,30
Santa Rita do Itueto,Minas Gerais,30
Santa Rita do Sapucaí,Minas Gerais,40
Santa Rosa da Serra,Minas Gerais,35
Santa Vitória,Minas Gerais,35
Santana da Vargem,Minas Gerais,35
Santana de Cataguases,Minas Gerais,35
Santana de Pirapama,Minas Gerais,30
Santana do Deserto,Minas Gerais,35
Santana do Garambéu,Minas Gerais,35
Santana do Jacaré,Minas Gerais,35
Santana do Manhuaçu,Minas Gerais,30
Santana do Paraíso,Minas Gerais,30
Santana do Riacho,Minas Gerais,30
Santana dos Montes,Minas Gerais,35
Santo Antônio do Amparo,Minas Gerais,35
Santo Antônio do Aventureiro,Minas Gerais,35
Santo Antônio do Grama,Minas Gerais,30
Santo Antônio do Itambé,Minas Gerais,30
Santo Antônio do Jacinto,Minas Gerais,30
Santo Antônio do Monte,Minas Gerais,30
Santo Antônio do Retiro,Minas Gerais,30
Santo Antônio do Rio Abaixo,Minas Gerais,30
Santo Hipólito,Minas Gerais,30
Santos Dumont,Minas Gerais,35
São Bento Abade,Minas Gerais,35
São Brás do Suaçuí,Minas Gerais,35
São Domingos das Dores,Minas Gerais,30
São Domingos do Prata,Minas Gerais,30
São Félix de Minas,Minas Gerais,30
São Francisco,Minas Gerais,30
São Francisco de Paula,Minas Gerais,35
São Francisco de Sales,Minas Gerais,35
São Francisco do Glória,Minas Gerais,30
São Geraldo,Minas Gerais,35
São Geraldo da Piedade,Minas Gerais,30
São Geraldo do Baixio,Minas Gerais,30
São Gonçalo do Abaeté,Minas Gerais,30
São Gonçalo do Pará,Minas Gerais,30
São Gonçalo do Rio Abaixo,Minas Gerais,30
São Gonçalo do Rio Preto,Minas Gerais,30
São Gonçalo do Sapucaí,Minas Gerais,40
São Gotardo,Minas Gerais,30
São João Batista do Glória,Minas Gerais,35
São João da Lagoa,Minas Gerais,30
São João da Mata,Minas Gerais,40
São João da Ponte,Minas Gerais,30
São João das Missões,Minas Gerais,30
São João Del Rei,Minas Gerais,35
São João do Manhuaçu,Minas Gerais,30
São João do Manteninha,Minas Gerais,30
São João do Oriente,Minas Gerais,30
São João do Pacuí,Minas Gerais,30
São João do Paraíso,Minas Gerais,30
São João Evangelista,Minas Gerais,30
São João Nepomuceno,Minas Gerais,35
São Joaquim de Bicas,Minas Gerais,30
São José da Barra,Minas Gerais,35
São José da Lapa,Minas Gerais,30
São José da Safira,Minas Gerais,30
São José da Varginha,Minas Gerais,30
São José do Alegre,Minas Gerais,40
São José do Divino,Minas Gerais,30
São José do Goiabal,Minas Gerais,30
São José do Jacuri,Minas Gerais,30
São José do Mantimento,Minas Gerais,30
São Lourenço,Minas Gerais,35
São Miguel do Anta,Minas Gerais,35
São Pedro da União,Minas Gerais,35
São Pedro do Suaçuí,Minas Gerais,30
São Pedro dos Ferros,Minas Gerais,30
São Romão,Minas Gerais,30
São Roque de Minas,Minas Gerais,35
São Sebastião da Bela Vista,Minas Gerais,40
São Sebastião da Vargem Alegre,Minas Gerais,35
São Sebastião do Anta,Minas Gerais,30
São Sebastião do Maranhão,Minas Gerais,30
São Sebastião do Oeste,Minas Gerais,30
São Sebastião do Paraíso,Minas Gerais,35
São Sebastião do Rio Preto,Minas Gerais,30
São Sebastião do Rio Verde,Minas Gerais,35
São Thomé das Letras,Minas Gerais,35
São Tiago,Minas Gerais,35
São Tomás de Aquino,Minas Gerais,35
São Vicente de Minas,Minas Gerais,35
Sapucaí-mirim,Minas Gerais,40
Sardoá,Minas Gerais,30
Sarzedo,Minas Gerais,30
Sem-peixe,Minas Gerais,30
Senador Amaral,Minas Gerais,40
Senador Cortes,Minas Gerais,35
Senador Firmino,Minas Gerais,35
Senador José Bento,Minas Gerais,40
Senador Modestino Gonçalves,Minas Gerais,30
Senhora de Oliveira,Minas Gerais,35
Senhora do Porto,Minas Gerais,30
Senhora dos Remédios,Minas Gerais,35
Sericita,Minas Gerais,30
Seritinga,Minas Gerais,35
Serra Azul de Minas,Minas Gerais,30
Serra da Saudade,Minas Gerais,30
Serra do Salitre,Minas Gerais,35
Serra dos Aimorés,Minas Gerais,30
Serrania,Minas Gerais,40
Serranópolis de Minas,Minas Gerais,30
Serranos,Minas Gerais,35
Serro,Minas Gerais,30
Sete Lagoas,Minas Gerais,30
Setubinha,Minas Gerais,30
Silveirânia,Minas Gerais,35
Silvianópolis,Minas Gerais,40
Simão Pereira,Minas Gerais,35
Simonésia,Minas Gerais,30
Sobrália,Minas Gerais,30
Soledade de Minas,Minas Gerais,35
Tabuleiro,Minas Gerais,35
Taiobeiras,Minas Gerais,30
Taparuba,Minas Gerais,30
Tapira,Minas Gerais,35
Tapiraí,Minas Gerais,35
Taquaraçu de Minas,Minas Gerais,30
Tarumirim,Minas Gerais,30
Teixeiras,Minas Gerais,35
Teófilo Otoni,Minas Gerais,30
Timóteo,Minas Gerais,30
Tiradentes,Minas Gerais,35
Tiros,Minas Gerais,30
Tocantins,Minas Gerais,35
Tocos do Moji,Minas Gerais,40
Toledo,Minas Gerais,40
Tombos,Minas Gerais,30
Três Corações,Minas Gerais,35
Três Marias,Minas Gerais,30
Três Pontas,Minas Gerais,35
Tumiritinga,Minas Gerais,30
Tupaciguara,Minas Gerais,35
Turmalina,Minas Gerais,30
Turvolândia,Minas Gerais,40
Ubá,Minas Gerais,35
Ubaí,Minas Gerais,30
Ubaporanga,Minas Gerais,30
Uberaba,Minas Gerais,35
Uberlândia,Minas Gerais,35
Umburatiba,Minas Gerais,30
Unaí,Minas Gerais,30
União de Minas,Minas Gerais,35
Uruana de Minas,Minas Gerais,30
Urucânia,Minas Gerais,30
Urucuia,Minas Gerais,30
Vargem Alegre,Minas Gerais,30
Vargem Bonita,Minas Gerais,35
Vargem Grande do Rio Pardo,Minas Gerais,30
Varginha,Minas Gerais,35
Varjão de Minas,Minas Gerais,30
Várzea da Palma,Minas Gerais,30
Varzelândia,Minas Gerais,30
Vazante,Minas Gerais,30
Verdelândia,Minas Gerais,30
Veredinha,Minas Gerais,30
Veríssimo,Minas Gerais,35
Vermelho Novo,Minas Gerais,30
Vespasiano,Minas Gerais,30
Viçosa,Minas Gerais,35
Vieiras,Minas Gerais,30
Virgem da Lapa,Minas Gerais,30
Virgínia,Minas Gerais,35
Virginópolis,Minas Gerais,30
Virgolândia,Minas Gerais,30
Visconde do Rio Branco,Minas Gerais,35
Volta Grande,Minas Gerais,35
Wenceslau Braz,Minas Gerais,35
Abaetetuba,Pará,30
Abel Figueiredo,Pará,30
Acará,Pará,30
Afuá,Pará,30
Água Azul do Norte,Pará,30
Alenquer,Pará,30
Almeirim,Pará,30
Altamira,Pará,30
Anajás,Pará,30
Ananindeua,Pará,30
Anapu,Pará,30
Augusto Corrêa,Pará,30
Aurora do Pará,Pará,30
Aveiro,Pará,30
Bagre,Pará,30
Baião,Pará,30
Bannach,Pará,30
Barcarena,Pará,30
Belém,Pará,30
Belterra,Pará,30
Benevides,Pará,30
Bom Jesus do Tocantins,Pará,30
Bonito,Pará,30
Bragança,Pará,30
Brasil Novo,Pará,30
Brejo Grande do Araguaia,Pará,30
Breu Branco,Pará,30
Breves,Pará,30
Bujaru,Pará,30
Cachoeira do Arari,Pará,30
Cachoeira do Piriá,Pará,30
Cametá,Pará,30
Canaã dos Carajás,Pará,30
Capanema,Pará,30
Capitão Poço,Pará,30
Castanhal,Pará,30
Chaves,Pará,30
Colares,Pará,30
Conceição do Araguaia,Pará,30
Concórdia do Pará,Pará,30
Cumaru do Norte,Pará,30
Curionópolis,Pará,30
Curralinho,Pará,30
Curuá,Pará,30
Curuçá,Pará,30
Dom Eliseu,Pará,30
Eldorado dos Carajás,Pará,30
Faro,Pará,30
Floresta do Araguaia,Pará,30
Garrafão do Norte,Pará,30
Goianésia do Pará,Pará,30
Gurupá,Pará,30
Igarapé-açu,Pará,30
Igarapé-miri,Pará,30
Inhangapi,Pará,30
Ipixuna do Pará,Pará,30
Irituia,Pará,30
Itaituba,Pará,30
Itupiranga,Pará,30
Jacareacanga,Pará,30
Jacundá,Pará,30
Juruti,Pará,30
Limoeiro do Ajuru,Pará,30
Mãe do Rio,Pará,30
Magalhães Barata,Pará,30
Marabá,Pará,30
Maracanã,Pará,30
Marapanim,Pará,30
Marituba,Pará,30
Medicilândia,Pará,30
Melgaço,Pará,30
Mocajuba,Pará,30
Moju,Pará,30
Mojuí dos Campos,Pará,30
Monte Alegre,Pará,30
Muaná,Pará,30
Nova Esperança do Piriá,Pará,30
Nova Ipixuna,Pará,30
Nova Timboteua,Pará,30
Novo Progresso,Pará,30
Novo Repartimento,Pará,30
Óbidos,Pará,30
Oeiras do Pará,Pará,30
Oriximiná,Pará,30
Ourém,Pará,30
Ourilândia do Norte,Pará,30
Pacajá,Pará,30
Palestina do Pará,Pará,30
Paragominas,Pará,30
Parauapebas,Pará,30
Pau D'arco,Pará,30
Peixe-boi,Pará,30
Piçarra,Pará,30
Placas,Pará,30
Ponta de Pedras,Pará,30
Portel,Pará,30
Porto de Moz,Pará,30
Prainha,Pará,30
Primavera,Pará,30
Quatipuru,Pará,30
Redenção,Pará,30
Rio Maria,Pará,30
Rondon do Pará,Pará,30
Rurópolis,Pará,30
Salinópolis,Pará,30
Salvaterra,Pará,30
Santa Bárbara do Pará,Pará,30
Santa Cruz do Arari,Pará,30
Santa Izabel do Pará,Pará,30
Santa Luzia do Pará,Pará,30
Santa Maria das Barreiras,Pará,30
Santa Maria do Pará,Pará,30
Santana do Araguaia,Pará,30
Santarém,Pará,30
Santarém Novo,Pará,30
Santo Antônio do Tauá,Pará,30
São Caetano de Odivelas,Pará,30
São Domingos do Araguaia,Pará,30
São Domingos do Capim,Pará,30
São Félix do Xingu,Pará,30
São Francisco do Pará,Pará,30
São Geraldo do Araguaia,Pará,30
São João da Ponta,Pará,30
São João de Pirabas,Pará,30
São João do Araguaia,Pará,30
São Miguel do Guamá,Pará,30
São Sebastião da Boa Vista,Pará,30
Sapucaia,Pará,30
Senador José Porfírio,Pará,30
Soure,Pará,30
Tailândia,Pará,30
Terra Alta,Pará,30
Terra Santa,Pará,30
Tomé-açu,Pará,30
Tracuateua,Pará,30
Trairão,Pará,30
Tucumã,Pará,30
Tucuruí,Pará,30
Ulianópolis,Pará,30
Uruará,Pará,30
Vigia,Pará,30
Viseu,Pará,30
Vitória do Xingu,Pará,30
Xinguara,Pará,30
Água Branca,Paraíba,30
Aguiar,Paraíba,30
Alagoa Grande,Paraíba,30
Alagoa Nova,Paraíba,30
Alagoinha,Paraíba,30
Alcantil,Paraíba,30
Algodão de Jandaíra,Paraíba,30
Alhandra,Paraíba,30
Amparo,Paraíba,30
Aparecida,Paraíba,30
Araçagi,Paraíba,30
Arara,Paraíba,30
Araruna,Paraíba,30
Areia,Paraíba,30
Areia de Baraúnas,Paraíba,30
Areial,Paraíba,30
Aroeiras,Paraíba,30
Assunção,Paraíba,30
Baía da Traição,Paraíba,30
Bananeiras,Paraíba,30
Baraúna,Paraíba,30
Barra de Santa Rosa,Paraíba,30
Barra de Santana,Paraíba,30
Barra de São Miguel,Paraíba,30
Bayeux,Paraíba,30
Belém,Paraíba,30
Belém do Brejo do Cruz,Paraíba,30
Bernardino Batista,Paraíba,30
Boa Ventura,Paraíba,30
Boa Vista,Paraíba,30
Bom Jesus,Paraíba,30
Bom Sucesso,Paraíba,30
Bonito de Santa Fé,Paraíba,30
Boqueirão,Paraíba,30
Borborema,Paraíba,30
Brejo do Cruz,Paraíba,30
Brejo dos Santos,Paraíba,30
Caaporã,Paraíba,30
Cabaceiras,Paraíba,30
Cabedelo,Paraíba,30
Cachoeira dos Índios,Paraíba,30
Cacimba de Areia,Paraíba,30
Cacimba de Dentro,Paraíba,30
Cacimbas,Paraíba,30
Caiçara,Paraíba,30
Cajazeiras,Paraíba,30
Cajazeirinhas,Paraíba,30
Caldas Brandão,Paraíba,30
Camalaú,Paraíba,30
Campina Grande,Paraíba,30
Capim,Paraíba,30
Caraúbas,Paraíba,30
Carrapateira,Paraíba,30
Casserengue,Paraíba,30
Catingueira,Paraíba,30
Catolé do Rocha,Paraíba,30
Caturité,Paraíba,30
Conceição,Paraíba,30
Condado,Paraíba,30
Conde,Paraíba,30
Congo,Paraíba,30
Coremas,Paraíba,30
Coxixola,Paraíba,30
Cruz do Espírito Santo,Paraíba,30
Cubati,Paraíba,30
Cuité,Paraíba,30
Cuité de Mamanguape,Paraíba,30
Cuitegi,Paraíba,30
Curral de Cima,Paraíba,30
Curral Velho,Paraíba,30
Damião,Paraíba,30
Desterro,Paraíba,30
Diamante,Paraíba,30
Dona Inês,Paraíba,30
Duas Estradas,Paraíba,30
Emas,Paraíba,30
Esperança,Paraíba,30
Fagundes,Paraíba,30
Frei Martinho,Paraíba,30
Gado Bravo,Paraíba,30
Guarabira,Paraíba,30
Gurinhém,Paraíba,30
Gurjão,Paraíba,30
Ibiara,Paraíba,30
Igaracy,Paraíba,30
Imaculada,Paraíba,30
Ingá,Paraíba,30
Itabaiana,Paraíba,30
Itaporanga,Paraíba,30
Itapororoca,Paraíba,30
Itatuba,Paraíba,30
Jacaraú,Paraíba,30
Jericó,Paraíba,30
João Pessoa,Paraíba,30
Joca Claudino,Paraíba,30
Juarez Távora,Paraíba,30
Juazeirinho,Paraíba,30
Junco do Seridó,Paraíba,30
Juripiranga,Paraíba,30
Juru,Paraíba,30
Lagoa,Paraíba,30
Lagoa de Dentro,Paraíba,30
